Category,City,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Ship Date,Ship Mode,State,Sub-Category,Sales,Year,Month,Time Delivery,Price per unit
Office Supplies,Columbus,BM-11785,Bryan Mills,0.7,2016-10-03,US-2016-157014,43229.0,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,-22.449,5,2016-10-06,Second Class,Ohio,Binders,238.0,2016,10,3,158.67
Office Supplies,Philadelphia,CA-12775,Cynthia Arntzen,0.7,2015-06-28,CA-2015-140858,19140.0,OFF-BI-10003094,Self-Adhesive Ring Binder Labels,-2.4288,3,2015-07-02,Standard Class,Pennsylvania,Binders,597.0,2015,6,4,663.33
Office Supplies,Philadelphia,CA-12775,Cynthia Arntzen,0.7,2015-06-28,CA-2015-140858,19140.0,OFF-BI-10004230,GBC Recycled Grain Textured Covers,-22.7964,3,2015-07-02,Standard Class,Pennsylvania,Binders,26.0,2015,6,4,28.89
Office Supplies,Lancaster,GP-14740,Guy Phonely,0.7,2015-04-06,CA-2015-136742,17602.0,OFF-BI-10003719,Large Capacity Hanging Post Binders,-35.928,6,2015-04-10,Standard Class,Pennsylvania,Binders,252.0,2015,4,4,140.0
Office Supplies,Philadelphia,PK-18910,Paul Knutson,0.7,2017-09-03,CA-2017-158099,19143.0,OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,-760.98,5,2017-09-05,First Class,Pennsylvania,Binders,37.0,2017,9,2,24.67
Office Supplies,Philadelphia,AG-10765,Anthony Garverick,0.7,2015-09-17,US-2015-158638,19120.0,OFF-BI-10003712,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",-4.1244,4,2015-09-21,Standard Class,Pennsylvania,Binders,345.0,2015,9,4,287.5
Office Supplies,Springfield,JR-16210,Justin Ritter,0.7,2017-04-10,US-2017-114622,45503.0,OFF-BI-10004716,Wilson Jones Hanging Recycled Pressboard Data Binders,-6.5296,2,2017-04-12,First Class,Ohio,Binders,50.0,2017,4,2,83.33
Office Supplies,Philadelphia,CG-12040,Catherine Glotzbach,0.7,2017-06-20,CA-2017-140081,19120.0,OFF-BI-10004826,JM Magazine Binder,-21.7932,6,2017-06-24,Standard Class,Pennsylvania,Binders,35.0,2017,6,4,19.44
Office Supplies,Philadelphia,DL-13315,Delfina Latchford,0.7,2015-01-16,CA-2015-115791,19134.0,OFF-BI-10001575,GBC Linen Binding Covers,-13.6312,2,2015-01-18,Second Class,Pennsylvania,Binders,26.34,2015,1,2,43.9
Office Supplies,Cincinnati,AG-10390,Allen Goldenen,0.7,2017-11-20,CA-2017-109820,45231.0,OFF-BI-10003460,Acco 3-Hole Punch,-1.9272,2,2017-11-22,First Class,Ohio,Binders,90.0,2017,11,2,150.0
Office Supplies,Cincinnati,AG-10390,Allen Goldenen,0.7,2017-11-20,CA-2017-109820,45231.0,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-10.5798,3,2017-11-22,First Class,Ohio,Binders,29.55,2017,11,2,32.83
Office Supplies,Toledo,TS-21160,Theresa Swint,0.7,2016-04-16,CA-2016-161263,43615.0,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",-46.225,5,2016-04-21,Standard Class,Ohio,Binders,414.0,2016,4,5,276.0
Office Supplies,Philadelphia,RB-19795,Ross Baird,0.7,2016-07-25,US-2016-150161,19143.0,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,-18.4624,4,2016-07-29,Standard Class,Pennsylvania,Binders,18.22,2016,7,4,15.18
Office Supplies,Philadelphia,SP-20620,Stefania Perrino,0.7,2018-09-09,US-2018-118087,19134.0,OFF-BI-10002432,Wilson Jones Standard D-Ring Binders,-2.3276,2,2018-09-13,Standard Class,Pennsylvania,Binders,716.0,2018,9,4,1193.33
Office Supplies,Philadelphia,SP-20620,Stefania Perrino,0.7,2018-09-09,US-2018-118087,19134.0,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",-3.6024,1,2018-09-13,Standard Class,Pennsylvania,Binders,33.1,2018,9,4,110.33
Office Supplies,Cincinnati,MC-17575,Matt Collins,0.7,2018-02-03,CA-2018-167703,45231.0,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,-4.1832,3,2018-02-08,Standard Class,Ohio,Binders,8.0,2018,2,5,8.89
Office Supplies,Philadelphia,TS-21160,Theresa Swint,0.7,2015-04-23,US-2015-112564,19134.0,OFF-BI-10004876,Wilson Jones Suede Grain Vinyl Binders,-1.7514,3,2015-04-24,First Class,Pennsylvania,Binders,74.0,2015,4,1,82.22
Office Supplies,Cleveland,AS-10240,Alan Shonely,0.7,2018-06-21,CA-2018-101049,44105.0,OFF-BI-10001510,Deluxe Heavy-Duty Vinyl Round Ring Binder,-34.38,6,2018-06-25,Second Class,Ohio,Binders,17.0,2018,6,4,9.44
Office Supplies,Philadelphia,SF-20200,Sarah Foster,0.7,2016-09-26,CA-2016-120341,19143.0,OFF-BI-10004224,Catalog Binders with Expanding Posts,-100.92,6,2016-09-29,Second Class,Pennsylvania,Binders,36.0,2016,9,3,20.0
Office Supplies,Philadelphia,QJ-19255,Quincy Jones,0.7,2018-04-30,CA-2018-144526,19143.0,OFF-BI-10002353,GBC VeloBind Cover Sets,-9.264,3,2018-05-06,Standard Class,Pennsylvania,Binders,138.0,2018,4,6,153.33
Technology,Philadelphia,SB-20290,Sean Braxton,0.7,2015-09-07,CA-2015-122882,19134.0,TEC-MA-10004679,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,-559.356,4,2015-09-13,Standard Class,Pennsylvania,Machines,464.0,2015,9,6,386.67
Office Supplies,Philadelphia,DK-12835,Damala Kotsonis,0.7,2018-04-24,CA-2018-149489,19143.0,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,-0.99,2,2018-04-27,First Class,Pennsylvania,Binders,120.0,2018,4,3,200.0
Office Supplies,Philadelphia,DK-12835,Damala Kotsonis,0.7,2018-04-24,CA-2018-149489,19143.0,OFF-BI-10002414,GBC ProClick Spines for 32-Hole Punch,-5.7638,2,2018-04-27,First Class,Pennsylvania,Binders,238.0,2018,4,3,396.67
Office Supplies,Philadelphia,IM-15070,Irene Maddox,0.7,2016-11-22,CA-2016-100545,19120.0,OFF-BI-10003638,GBC Durable Plastic Covers,-9.288,2,2016-11-26,Standard Class,Pennsylvania,Binders,357.0,2016,11,4,595.0
Office Supplies,Philadelphia,JA-15970,Joseph Airdo,0.7,2018-09-22,CA-2018-158379,19134.0,OFF-BI-10002498,Clear Mylar Reinforcing Strips,-4.2987,1,2018-09-26,Second Class,Pennsylvania,Binders,45.0,2018,9,4,150.0
Office Supplies,Philadelphia,CB-12415,Christy Brittain,0.7,2018-02-24,CA-2018-111374,19134.0,OFF-BI-10004970,"ACCOHIDE 3-Ring Binder, Blue, 1""",-3.7996,4,2018-02-28,Standard Class,Pennsylvania,Binders,35.0,2018,2,4,29.17
Office Supplies,Philadelphia,CK-12595,Clytie Kelty,0.7,2016-07-11,CA-2016-142237,19134.0,OFF-BI-10004022,Acco Suede Grain Vinyl Round Ring Binder,-2.0016,3,2016-07-13,First Class,Pennsylvania,Binders,90.0,2016,7,2,100.0
Office Supplies,Philadelphia,CK-12595,Clytie Kelty,0.7,2016-07-11,CA-2016-142237,19134.0,OFF-BI-10003669,3M Organizer Strips,-4.752,4,2016-07-13,First Class,Pennsylvania,Binders,480.0,2016,7,2,400.0
Office Supplies,Philadelphia,CC-12610,Corey Catlett,0.7,2017-07-21,CA-2017-146521,19134.0,OFF-BI-10000301,GBC Instant Report Kit,-1.294,1,2017-07-23,Second Class,Pennsylvania,Binders,1071.0,2017,7,2,3570.0
Office Supplies,Philadelphia,WB-21850,William Brown,0.7,2016-11-30,CA-2016-122210,19134.0,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,-122.3928,3,2016-12-04,Standard Class,Pennsylvania,Binders,177.0,2016,11,4,196.67
Office Supplies,York,TS-21160,Theresa Swint,0.7,2017-06-25,US-2017-152051,17403.0,OFF-BI-10004781,GBC Wire Binding Strips,-27.9312,4,2017-06-29,Standard Class,Pennsylvania,Binders,38.08,2017,6,4,31.73
Office Supplies,Columbus,RF-19840,Roy Französisch,0.7,2018-04-16,CA-2018-136497,43229.0,OFF-BI-10001553,SpineVue Locking Slant-D Ring Binders by Cardinal,-10.054,5,2018-04-20,Standard Class,Ohio,Binders,13.71,2018,4,4,9.14
Office Supplies,Columbus,MS-17770,Maxwell Schwartz,0.7,2015-08-19,US-2015-164616,43229.0,OFF-BI-10001718,GBC DocuBind P50 Personal Binding Machine,-58.8616,4,2015-08-21,Second Class,Ohio,Binders,76.77,2015,8,2,63.97
Office Supplies,Fairfield,SV-20935,Susan Vittorini,0.7,2018-12-25,US-2018-147669,45014.0,OFF-BI-10000632,Satellite Sectional Post Binders,-10.4184,1,2018-12-30,Standard Class,Ohio,Binders,13.02,2018,12,5,43.4
Technology,Springfield,SB-20290,Sean Braxton,0.7,2018-11-13,US-2018-165344,45503.0,TEC-MA-10002210,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,-935.9595,7,2018-11-15,First Class,Ohio,Machines,652.99,2018,11,2,310.95
Office Supplies,Springfield,SB-20290,Sean Braxton,0.7,2018-11-13,US-2018-165344,45503.0,OFF-BI-10003196,Accohide Poly Flexible Ring Binders,-7.48,10,2018-11-15,First Class,Ohio,Binders,11.22,2018,11,2,3.74
Office Supplies,Philadelphia,CM-12160,Charles McCrossin,0.7,2018-12-04,CA-2018-156412,19134.0,OFF-BI-10004364,Storex Dura Pro Binders,-4.455,3,2018-12-08,Standard Class,Pennsylvania,Binders,5.34,2018,12,4,5.93
Office Supplies,Toledo,SK-19990,Sally Knutson,0.7,2018-12-22,CA-2018-119193,43615.0,OFF-BI-10000848,Angle-D Ring Binders,-1.3128,1,2018-12-24,First Class,Ohio,Binders,1.64,2018,12,2,5.47
Office Supplies,Philadelphia,PL-18925,Paul Lucas,0.7,2018-06-22,CA-2018-165757,19140.0,OFF-BI-10003166,GBC Plasticlear Binding Covers,-7.5768,3,2018-06-28,Standard Class,Pennsylvania,Binders,10.33,2018,6,6,11.48
Office Supplies,Philadelphia,PL-18925,Paul Lucas,0.7,2018-06-22,CA-2018-165757,19140.0,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,-23.8855,5,2018-06-28,Standard Class,Pennsylvania,Binders,31.15,2018,6,6,20.77
Office Supplies,Springfield,SH-20395,Shahid Hopkins,0.7,2018-05-04,CA-2018-168900,45503.0,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,-1.9275,1,2018-05-09,Standard Class,Ohio,Binders,2.31,2018,5,5,7.7
Technology,Philadelphia,NW-18400,Natalie Webber,0.7,2015-06-21,CA-2015-138317,19120.0,TEC-MA-10004521,Epson Perfection V600 Photo Scanner,-172.4925,3,2015-06-25,Standard Class,Pennsylvania,Machines,206.99,2015,6,4,229.99
Office Supplies,Philadelphia,NW-18400,Natalie Webber,0.7,2015-06-21,CA-2015-138317,19120.0,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",-7.2048,2,2015-06-25,Standard Class,Pennsylvania,Binders,9.0,2015,6,4,15.0
Office Supplies,Columbus,JP-16135,Julie Prescott,0.7,2017-12-08,CA-2017-124562,43229.0,OFF-BI-10001267,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",-9.5018,7,2017-12-12,Standard Class,Ohio,Binders,12.95,2017,12,4,6.17
Technology,Newark,NF-18385,Natalie Fritzler,0.7,2016-12-15,CA-2016-147830,43055.0,TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,-2639.9912,2,2016-12-18,First Class,Ohio,Machines,1799.99,2016,12,3,2999.98
Office Supplies,Fairfield,AF-10885,Art Foster,0.7,2015-09-12,CA-2015-103702,45014.0,OFF-BI-10002429,"Premier Elliptical Ring Binder, Black",-46.8776,7,2015-09-17,Standard Class,Ohio,Binders,63.92,2015,9,5,30.44
Office Supplies,Philadelphia,CS-11950,Carlos Soltero,0.7,2015-11-18,US-2015-159926,19140.0,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,-40.7976,1,2015-11-22,Standard Class,Pennsylvania,Binders,50.99,2015,11,4,169.97
Office Supplies,Philadelphia,CS-11950,Carlos Soltero,0.7,2015-11-18,US-2015-159926,19140.0,OFF-BI-10004656,Peel & Stick Add-On Corner Pockets,-1.4256,3,2015-11-22,Standard Class,Pennsylvania,Binders,1.94,2015,11,4,2.16
Office Supplies,Columbus,LB-16795,Laurel Beltran,0.7,2015-04-23,US-2015-150119,43229.0,OFF-BI-10000145,Zipper Ring Binder Pockets,-5.2416,8,2015-04-27,Standard Class,Ohio,Binders,7.48,2015,4,4,3.12
Office Supplies,Philadelphia,AS-10090,Adam Shillingsburg,0.7,2018-09-16,CA-2018-136448,19143.0,OFF-BI-10002393,Binder Posts,-2.7552,2,2018-09-18,First Class,Pennsylvania,Binders,3.44,2018,9,2,5.73
Office Supplies,Philadelphia,AS-10090,Adam Shillingsburg,0.7,2018-09-16,CA-2018-136448,19143.0,OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,-412.6154,2,2018-09-18,First Class,Pennsylvania,Binders,538.19,2018,9,2,896.98
Office Supplies,Philadelphia,FH-14275,Frank Hawley,0.7,2018-11-23,CA-2018-107832,19120.0,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,-5.9808,1,2018-11-26,Second Class,Pennsylvania,Binders,7.47,2018,11,3,24.9
Office Supplies,Akron,MD-17350,Maribeth Dona,0.7,2018-09-04,CA-2018-109757,44312.0,OFF-BI-10004001,GBC Recycled VeloBinder Covers,-20.448,5,2018-09-09,Second Class,Ohio,Binders,25.55,2018,9,5,17.03
Office Supplies,Akron,MD-17350,Maribeth Dona,0.7,2018-09-04,CA-2018-109757,44312.0,OFF-BI-10001634,Wilson Jones Active Use Binders,-3.0576,2,2018-09-09,Second Class,Ohio,Binders,4.36,2018,9,5,7.27
Office Supplies,Toledo,NZ-18565,Nick Zandusky,0.7,2017-09-11,CA-2017-164154,43615.0,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,-17.9424,3,2017-09-17,Standard Class,Ohio,Binders,22.42,2017,9,6,24.91
Office Supplies,Philadelphia,JC-15340,Jasper Cacioppo,0.7,2017-09-05,CA-2017-154536,19120.0,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",-7.3255,5,2017-09-09,Standard Class,Pennsylvania,Binders,9.55,2017,9,4,6.37
Office Supplies,Springfield,PP-18955,Paul Prost,0.7,2017-11-10,CA-2017-145177,45503.0,OFF-BI-10002082,GBC Twin Loop Wire Binding Elements,-46.592,7,2017-11-14,Standard Class,Ohio,Binders,69.88,2017,11,4,33.28
Office Supplies,Troy,EH-14125,Eugene Hildebrand,0.7,2017-04-08,CA-2017-104969,45373.0,OFF-BI-10004224,Catalog Binders with Expanding Posts,-100.92,6,2017-04-14,Standard Class,Ohio,Binders,121.1,2017,4,6,67.28
Office Supplies,Columbus,TC-21535,Tracy Collins,0.7,2018-12-26,CA-2018-112487,43229.0,OFF-BI-10000494,Acco Economy Flexible Poly Round Ring Binder,-2.61,2,2018-12-30,Standard Class,Ohio,Binders,3.13,2018,12,4,5.22
Office Supplies,Altoona,BT-11395,Bill Tyler,0.7,2016-02-27,CA-2016-111325,16602.0,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-3.3879,3,2016-02-28,First Class,Pennsylvania,Binders,4.41,2016,2,1,4.9
Office Supplies,Philadelphia,VT-21700,Valerie Takahito,0.7,2016-04-05,CA-2016-167010,19143.0,OFF-BI-10002072,Cardinal Slant-D Ring Binders,-6.952,4,2016-04-10,Standard Class,Pennsylvania,Binders,10.42,2016,4,5,8.68
Office Supplies,Lorain,JM-15655,Jim Mitchum,0.7,2017-12-12,US-2017-108777,44052.0,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,-14.3313,3,2017-12-12,Same Day,Ohio,Binders,18.69,2017,12,0,20.77
Office Supplies,Philadelphia,SW-20245,Scot Wooten,0.7,2016-12-05,CA-2016-101091,19140.0,OFF-BI-10001107,"GBC White Gloss Covers, Plain Front",-19.9824,6,2016-12-09,Second Class,Pennsylvania,Binders,26.06,2016,12,4,14.48
Office Supplies,Philadelphia,CJ-12010,Caroline Jumper,0.7,2017-12-03,US-2017-161683,19134.0,OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",-14.5536,4,2017-12-08,Standard Class,Pennsylvania,Binders,18.19,2017,12,5,15.16
Office Supplies,Philadelphia,DM-13015,Darrin Martin,0.7,2018-11-03,CA-2018-110429,19143.0,OFF-BI-10000216,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",-7.782,3,2018-11-08,Standard Class,Pennsylvania,Binders,11.67,2018,11,5,12.97
Office Supplies,Akron,KB-16315,Karl Braun,0.7,2016-02-14,US-2016-147662,44312.0,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,-11.9616,2,2016-02-19,Standard Class,Ohio,Binders,14.95,2016,2,5,24.92
Office Supplies,Akron,KB-16315,Karl Braun,0.7,2016-02-14,US-2016-147662,44312.0,OFF-BI-10002160,Acco Hanging Data Binders,-1.6764,2,2016-02-19,Standard Class,Ohio,Binders,2.28,2016,2,5,3.8
Office Supplies,Springfield,SW-20245,Scot Wooten,0.7,2015-07-20,CA-2015-142965,45503.0,OFF-BI-10000977,Ibico Plastic Spiral Binding Combs,-21.888,3,2015-07-20,Same Day,Ohio,Binders,27.35,2015,7,0,30.39
Office Supplies,Columbus,EC-14050,Erin Creighton,0.7,2015-12-17,CA-2015-139633,43229.0,OFF-BI-10002954,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,-4.0216,4,2015-12-24,Standard Class,Ohio,Binders,5.48,2015,12,7,4.57
Office Supplies,Philadelphia,GW-14605,Giulietta Weimer,0.7,2018-12-02,CA-2018-155075,19140.0,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,-462.8624,4,2018-12-09,Standard Class,Pennsylvania,Binders,631.17,2018,12,7,525.97
Office Supplies,Philadelphia,GB-14530,George Bell,0.7,2017-08-29,CA-2017-159912,19120.0,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,-2.7888,2,2017-09-03,Standard Class,Pennsylvania,Binders,3.48,2017,8,5,5.8
Office Supplies,Lancaster,BP-11155,Becky Pak,0.7,2018-03-30,US-2018-154851,17602.0,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-4.7625,5,2018-04-03,Standard Class,Pennsylvania,Binders,5.71,2018,3,4,3.81
Office Supplies,Philadelphia,JO-15280,Jas O'Carroll,0.7,2015-03-31,CA-2015-112403,19120.0,OFF-BI-10003529,Avery Round Ring Poly Binders,-0.5964,1,2015-03-31,Same Day,Pennsylvania,Binders,0.85,2015,3,0,2.83
Office Supplies,Philadelphia,EB-13870,Emily Burns,0.7,2018-09-21,CA-2018-169817,19143.0,OFF-BI-10004141,Insertable Tab Indexes For Data Binders,-1.5264,2,2018-09-25,Standard Class,Pennsylvania,Binders,1.9,2018,9,4,3.17
Technology,Columbus,CK-12205,Chloris Kastensmidt,0.7,2017-11-21,CA-2017-140018,43229.0,TEC-MA-10000752,Texas Instrument TI-15 Fraction Calculator,-24.276,7,2017-11-26,Standard Class,Ohio,Machines,30.34,2017,11,5,14.45
Office Supplies,Dublin,FH-14350,Fred Harton,0.7,2018-06-01,CA-2018-106831,43017.0,OFF-BI-10003429,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",-2.6586,2,2018-06-03,First Class,Ohio,Binders,3.79,2018,6,2,6.32
Office Supplies,Bowling Green,NM-18520,Neoma Murray,0.7,2017-12-23,CA-2017-136049,43402.0,OFF-BI-10001267,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",-4.0722,3,2017-12-28,Standard Class,Ohio,Binders,5.55,2017,12,5,6.17
Office Supplies,Fairfield,MS-17530,MaryBeth Skach,0.7,2015-11-18,CA-2015-133809,45014.0,OFF-BI-10001757,Pressboard Hanging Data Binders for Unburst Sheets,-8.6592,8,2015-11-23,Second Class,Ohio,Binders,11.8,2015,11,5,4.92
Office Supplies,Philadelphia,LR-17035,Lisa Ryan,0.7,2016-09-07,CA-2016-102876,19134.0,OFF-BI-10004781,GBC Wire Binding Strips,-6.9828,1,2016-09-14,Standard Class,Pennsylvania,Binders,9.52,2016,9,7,31.73
Office Supplies,Philadelphia,LR-17035,Lisa Ryan,0.7,2016-09-07,CA-2016-102876,19134.0,OFF-BI-10000848,Angle-D Ring Binders,-3.9384,3,2016-09-14,Standard Class,Pennsylvania,Binders,4.92,2016,9,7,5.47
Office Supplies,Cleveland,SW-20350,Sean Wendt,0.7,2018-07-21,US-2018-160465,44105.0,OFF-BI-10001670,Vinyl Sectional Post Binders,-22.62,3,2018-07-26,Standard Class,Ohio,Binders,33.93,2018,7,5,37.7
Office Supplies,Philadelphia,CS-11950,Carlos Soltero,0.7,2017-04-03,CA-2017-120796,19140.0,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",-83.205,9,2017-04-07,Standard Class,Pennsylvania,Binders,99.84,2017,4,4,36.98
Office Supplies,Philadelphia,KN-16390,Katherine Nockton,0.7,2016-03-05,CA-2016-109001,19120.0,OFF-BI-10003529,Avery Round Ring Poly Binders,-1.7892,3,2016-03-09,Standard Class,Pennsylvania,Binders,2.55,2016,3,4,2.83
Office Supplies,Lancaster,BM-11650,Brian Moss,0.7,2017-09-27,CA-2017-163202,43130.0,OFF-BI-10002764,Recycled Pressboard Report Cover with Reinforced Top Hinge,-2.0349,3,2017-10-02,Standard Class,Ohio,Binders,2.9,2017,9,5,3.22
Office Supplies,Lakewood,FC-14245,Frank Carlisle,0.7,2018-10-21,CA-2018-117422,44107.0,OFF-BI-10002799,"SlimView Poly Binder, 3/8""",-4.9728,4,2018-10-25,Standard Class,Ohio,Binders,6.21,2018,10,4,5.17
Office Supplies,Philadelphia,SC-20440,Shaun Chance,0.7,2016-09-04,CA-2016-113523,19140.0,OFF-BI-10001249,Avery Heavy-Duty EZD View Binder with Locking Rings,-6.1248,4,2016-09-08,Standard Class,Pennsylvania,Binders,7.65,2016,9,4,6.37
Office Supplies,Columbus,EA-14035,Erin Ashbrook,0.7,2015-12-05,CA-2015-151162,43229.0,OFF-BI-10003719,Large Capacity Hanging Post Binders,-23.952,4,2015-12-09,Standard Class,Ohio,Binders,29.94,2015,12,4,24.95
Office Supplies,Cleveland,JH-15430,Jennifer Halladay,0.7,2018-11-19,US-2018-108014,44105.0,OFF-BI-10003984,Lock-Up Easel 'Spel-Binder',-45.9333,7,2018-11-25,Standard Class,Ohio,Binders,59.91,2018,11,6,28.53
